x,y,z,date
0.39,0.95,0.34,2018-12-11 10:52:07.877297
0.48,1.05,0.26,2018-12-11 10:52:07.892944
0.47,1.02,0.26,2018-12-11 10:52:07.908399
0.36,0.92,0.31,2018-12-11 10:52:07.926765
0.29,0.86,0.32,2018-12-11 10:52:07.942009
0.29,0.88,0.33,2018-12-11 10:52:07.960631
0.27,0.88,0.3,2018-12-11 10:52:07.975962
0.3,0.9,0.28,2018-12-11 10:52:07.994359
0.3,0.9,0.28,2018-12-11 10:52:08.009660
0.29,0.9,0.28,2018-12-11 10:52:08.028028
0.33,0.91,0.28,2018-12-11 10:52:08.043213
0.35,0.93,0.28,2018-12-11 10:52:08.061855
0.33,0.96,0.27,2018-12-11 10:52:08.077395
0.33,0.91,0.34,2018-12-11 10:52:08.095762
0.34,0.89,0.42,2018-12-11 10:52:08.111089
0.33,0.81,0.39,2018-12-11 10:52:08.129658
0.37,0.86,0.32,2018-12-11 10:52:08.144819
0.41,0.9,0.31,2018-12-11 10:52:08.163383
0.43,0.91,0.29,2018-12-11 10:52:08.178531
0.4,0.92,0.3,2018-12-11 10:52:08.196897
0.39,0.92,0.32,2018-12-11 10:52:08.212109
0.4,0.93,0.31,2018-12-11 10:52:08.230771
0.37,0.93,0.33,2018-12-11 10:52:08.246043
0.39,0.93,0.33,2018-12-11 10:52:08.264453
0.43,0.95,0.31,2018-12-11 10:52:08.279891
0.42,0.95,0.3,2018-12-11 10:52:08.298488
0.38,0.93,0.32,2018-12-11 10:52:08.317666
0.34,0.91,0.34,2018-12-11 10:52:08.339555
0.3,0.98,0.33,2018-12-11 10:52:08.361471
0.29,0.94,0.32,2018-12-11 10:52:08.383487
0.34,0.97,0.29,2018-12-11 10:52:08.405010
0.34,0.96,0.25,2018-12-11 10:52:08.426806
0.35,0.96,0.2,2018-12-11 10:52:08.448672
0.21,0.91,0.31,2018-12-11 10:52:08.470302
0.08,0.75,0.4,2018-12-11 10:52:08.491945
0.03,0.65,0.35,2018-12-11 10:52:08.514065
0.25,0.38,0.39,2018-12-11 10:52:08.535926
1.72,0.36,0.36,2018-12-11 10:52:08.557530
3.46,0.59,0.16,2018-12-11 10:52:08.579454
2.12,0.26,0.65,2018-12-11 10:52:08.601411
0.96,0.55,1.24,2018-12-11 10:52:08.623594
4.23,0.2,0.35,2018-12-11 10:52:08.645302
4.78,1.12,0.73,2018-12-11 10:52:08.666792
2.86,1.7,2.22,2018-12-11 10:52:08.688255
1.58,0.19,1.05,2018-12-11 10:52:08.709984
0.47,0.78,0.11,2018-12-11 10:52:08.731584
0.03,0.86,0.06,2018-12-11 10:52:08.759388
0.23,0.98,0.04,2018-12-11 10:52:08.781304
0.12,0.94,0.04,2018-12-11 10:52:08.802605
0.06,0.9,0.12,2018-12-11 10:52:08.824154
0.14,0.88,0.12,2018-12-11 10:52:08.845250
0.08,0.82,0.19,2018-12-11 10:52:08.865730
0.11,0.87,0.17,2018-12-11 10:52:08.886544
0.14,0.84,0.14,2018-12-11 10:52:08.907816
0.21,0.89,0.15,2018-12-11 10:52:08.928422
0.27,0.93,0.15,2018-12-11 10:52:08.948977
0.33,0.95,0.2,2018-12-11 10:52:08.969591
0.32,0.95,0.21,2018-12-11 10:52:08.990228
0.31,0.92,0.27,2018-12-11 10:52:09.011321
0.33,0.92,0.2,2018-12-11 10:52:09.032560
0.43,0.98,0.17,2018-12-11 10:52:09.053554
0.41,0.99,0.18,2018-12-11 10:52:09.074307
0.32,0.99,0.19,2018-12-11 10:52:09.094990
0.28,0.97,0.18,2018-12-11 10:52:09.115488
0.3,0.99,0.14,2018-12-11 10:52:09.138706
0.31,1.04,0.19,2018-12-11 10:52:09.159867
0.22,0.99,0.17,2018-12-11 10:52:09.180696
0.18,0.94,0.16,2018-12-11 10:52:09.201229
0.16,0.9,0.18,2018-12-11 10:52:09.223898
0.15,0.87,0.11,2018-12-11 10:52:09.245677
0.04,0.73,0.14,2018-12-11 10:52:09.267330
0.14,0.51,0.25,2018-12-11 10:52:09.288444
0.64,0.21,0.42,2018-12-11 10:52:09.309623
2.88,0.13,0.7,2018-12-11 10:52:09.330713
2.54,0.19,0.59,2018-12-11 10:52:09.351221
0.03,0.23,0.89,2018-12-11 10:52:09.374382
2.65,1.42,2.37,2018-12-11 10:52:09.395864
3.79,1.07,0.66,2018-12-11 10:52:09.417566
3.6,1.74,2.14,2018-12-11 10:52:09.439138
2.24,0.28,1.48,2018-12-11 10:52:09.461359
0.66,0.63,0.29,2018-12-11 10:52:09.482683
